Method,Name,Error,Occurrences,First Seen,Last Seen
gRPC,Classify/default,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.INTERNAL
	details = ""[StatusCode.NOT_FOUND] Request for unknown model: 'fp32' is not found""
	debug_error_string = ""UNKNOWN:Error received from peer ipv4:34.178.244.104:50051 {created_time:""2026-06-17T21:54:38.885773-04:00"", grpc_status:13, grpc_message:""[StatusCode.NOT_FOUND] Request for unknown model: \'fp32\' is not found""}""
>",1,2026-06-18T01:54:38Z,2026-06-18T01:54:38Z
gRPC,Classify/default,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.INTERNAL
	details = ""[StatusCode.NOT_FOUND] Request for unknown model: 'fp32' is not found""
	debug_error_string = ""UNKNOWN:Error received from peer ipv4:34.178.244.104:50051 {grpc_message:""[StatusCode.NOT_FOUND] Request for unknown model: \'fp32\' is not found"", grpc_status:13, created_time:""2026-06-17T21:54:37.137882-04:00""}""
>",1,2026-06-18T01:54:37Z,2026-06-18T01:54:37Z
gRPC,Classify/default,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.INTERNAL
	details = ""[StatusCode.NOT_FOUND] Request for unknown model: 'fp32' is not found""
	debug_error_string = ""UNKNOWN:Error received from peer ipv4:34.178.244.104:50051 {created_time:""2026-06-17T21:54:35.846768-04:00"", grpc_status:13, grpc_message:""[StatusCode.NOT_FOUND] Request for unknown model: \'fp32\' is not found""}""
>",1,2026-06-18T01:54:35Z,2026-06-18T01:54:35Z
gRPC,Classify/default,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.INTERNAL
	details = ""[StatusCode.NOT_FOUND] Request for unknown model: 'fp32' is not found""
	debug_error_string = ""UNKNOWN:Error received from peer ipv4:34.178.244.104:50051 {grpc_message:""[StatusCode.NOT_FOUND] Request for unknown model: \'fp32\' is not found"", grpc_status:13, created_time:""2026-06-17T21:54:51.419535-04:00""}""
>",1,2026-06-18T01:54:51Z,2026-06-18T01:54:51Z
gRPC,Classify/default,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.INTERNAL
	details = ""[StatusCode.NOT_FOUND] Request for unknown model: 'fp32' is not found""
	debug_error_string = ""UNKNOWN:Error received from peer ipv4:34.178.244.104:50051 {grpc_message:""[StatusCode.NOT_FOUND] Request for unknown model: \'fp32\' is not found"", grpc_status:13, created_time:""2026-06-17T21:54:53.956268-04:00""}""
>",1,2026-06-18T01:54:53Z,2026-06-18T01:54:53Z
gRPC,Classify/default,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.INTERNAL
	details = ""[StatusCode.NOT_FOUND] Request for unknown model: 'fp32' is not found""
	debug_error_string = ""UNKNOWN:Error received from peer ipv4:34.178.244.104:50051 {created_time:""2026-06-17T21:54:41.313553-04:00"", grpc_status:13, grpc_message:""[StatusCode.NOT_FOUND] Request for unknown model: \'fp32\' is not found""}""
>",1,2026-06-18T01:54:41Z,2026-06-18T01:54:41Z
gRPC,Classify/default,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.INTERNAL
	details = ""[StatusCode.NOT_FOUND] Request for unknown model: 'fp32' is not found""
	debug_error_string = ""UNKNOWN:Error received from peer ipv4:34.178.244.104:50051 {created_time:""2026-06-17T21:54:43.219443-04:00"", grpc_status:13, grpc_message:""[StatusCode.NOT_FOUND] Request for unknown model: \'fp32\' is not found""}""
>",1,2026-06-18T01:54:43Z,2026-06-18T01:54:43Z
gRPC,Classify/default,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.INTERNAL
	details = ""[StatusCode.NOT_FOUND] Request for unknown model: 'fp32' is not found""
	debug_error_string = ""UNKNOWN:Error received from peer ipv4:34.178.244.104:50051 {grpc_message:""[StatusCode.NOT_FOUND] Request for unknown model: \'fp32\' is not found"", grpc_status:13, created_time:""2026-06-17T21:54:47.701811-04:00""}""
>",1,2026-06-18T01:54:47Z,2026-06-18T01:54:47Z
gRPC,Classify/default,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.INTERNAL
	details = ""[StatusCode.NOT_FOUND] Request for unknown model: 'fp32' is not found""
	debug_error_string = ""UNKNOWN:Error received from peer ipv4:34.178.244.104:50051 {created_time:""2026-06-17T21:54:50.758797-04:00"", grpc_status:13, grpc_message:""[StatusCode.NOT_FOUND] Request for unknown model: \'fp32\' is not found""}""
>",1,2026-06-18T01:54:50Z,2026-06-18T01:54:50Z
gRPC,Classify/default,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.INTERNAL
	details = ""[StatusCode.NOT_FOUND] Request for unknown model: 'fp32' is not found""
	debug_error_string = ""UNKNOWN:Error received from peer ipv4:34.178.244.104:50051 {grpc_message:""[StatusCode.NOT_FOUND] Request for unknown model: \'fp32\' is not found"", grpc_status:13, created_time:""2026-06-17T21:54:23.311098-04:00""}""
>",1,2026-06-18T01:54:23Z,2026-06-18T01:54:23Z
gRPC,Classify/default,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.INTERNAL
	details = ""[StatusCode.NOT_FOUND] Request for unknown model: 'fp32' is not found""
	debug_error_string = ""UNKNOWN:Error received from peer ipv4:34.178.244.104:50051 {grpc_message:""[StatusCode.NOT_FOUND] Request for unknown model: \'fp32\' is not found"", grpc_status:13, created_time:""2026-06-17T21:54:28.047044-04:00""}""
>",1,2026-06-18T01:54:28Z,2026-06-18T01:54:28Z
gRPC,Classify/default,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.INTERNAL
	details = ""[StatusCode.NOT_FOUND] Request for unknown model: 'fp32' is not found""
	debug_error_string = ""UNKNOWN:Error received from peer ipv4:34.178.244.104:50051 {created_time:""2026-06-17T21:54:19.990377-04:00"", grpc_status:13, grpc_message:""[StatusCode.NOT_FOUND] Request for unknown model: \'fp32\' is not found""}""
>",1,2026-06-18T01:54:20Z,2026-06-18T01:54:20Z
gRPC,Classify/default,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.INTERNAL
	details = ""[StatusCode.NOT_FOUND] Request for unknown model: 'fp32' is not found""
	debug_error_string = ""UNKNOWN:Error received from peer ipv4:34.178.244.104:50051 {grpc_message:""[StatusCode.NOT_FOUND] Request for unknown model: \'fp32\' is not found"", grpc_status:13, created_time:""2026-06-17T21:54:43.091136-04:00""}""
>",1,2026-06-18T01:54:43Z,2026-06-18T01:54:43Z
gRPC,Classify/default,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.INTERNAL
	details = ""[StatusCode.NOT_FOUND] Request for unknown model: 'fp32' is not found""
	debug_error_string = ""UNKNOWN:Error received from peer ipv4:34.178.244.104:50051 {created_time:""2026-06-17T21:54:38.746069-04:00"", grpc_status:13, grpc_message:""[StatusCode.NOT_FOUND] Request for unknown model: \'fp32\' is not found""}""
>",1,2026-06-18T01:54:38Z,2026-06-18T01:54:38Z
